0.1 -64 16
0.6 -63.9999 16
1.1 -63.9062 15.9754
1.6 -62.8508 15.6692
2.1 -59.0355 14.2973
2.6 -52.7827 11.6644
3.1 -47.2325 9.13557
3.6 -43.8446 7.53817
4.1 -41.6229 6.52309
4.6 -40.1946 5.86829
5.1 -39.1299 5.41371
5.6 -38.3196 5.0835
6.1 -37.6963 4.84314
6.6 -37.2519 4.67372
7.1 -36.8276 4.50857
7.6 -36.4452 4.3784
8.1 -36.1298 4.26292
8.6 -35.8414 4.18087
9.1 -35.6183 4.10152
9.6 -35.4283 4.02889
10.1 -35.2101 3.96876
10.6 -35.094 3.93055
11.1 -34.9403 3.89236
11.6 -34.8255 3.86703
12.1 -34.6963 3.81434
12.6 -34.595 3.78268
13.1 -34.5036 3.75451
13.6 -34.3726 3.73302
14.1 -34.3007 3.70981
14.6 -34.2479 3.69705
15.1 -34.2091 3.67476
15.6 -34.0473 3.62549
16.1 -34.04 3.61663
16.6 -33.9427 3.61085
17.1 -33.8661 3.59299
17.6 -33.8088 3.57585
18.1 -33.7738 3.55318
18.6 -33.7487 3.54916
19.1 -33.699 3.5317
19.6 -33.6588 3.52616
20.1 -33.6247 3.52035
20.6 -33.6011 3.50576
21.1 -33.5222 3.49707
21.6 -33.4637 3.47529
22.1 -33.4325 3.46785
22.6 -33.4322 3.46254
23.1 -33.4026 3.46917
23.6 -33.377 3.44381
24.1 -33.2899 3.43483
24.6 -33.2128 3.4105
25.1 -33.2349 3.42182
25.6 -33.2209 3.41778
26.1 -33.2431 3.42507
26.6 -33.2318 3.40025
27.1 -33.2033 3.43112
27.6 -33.1583 3.41714
28.1 -33.1703 3.40642
28.6 -33.1382 3.39889
29.1 -33.1089 3.39863
29.6 -33.1207 3.39601
30.1 -33.0258 3.37174
30.6 -32.9979 3.36801
31.1 -33.0329 3.37845
31.6 -33.0133 3.37026
32.1 -32.9616 3.3548
32.6 -32.948 3.35298
33.1 -32.993 3.36045
33.6 -33.0005 3.37123
34.1 -32.9382 3.3439
34.6 -32.977 3.34713
35.1 -32.9331 3.35251
35.6 -32.8731 3.33788
36.1 -32.9015 3.33744
36.6 -32.9281 3.32936
37.1 -32.957 3.34708
37.6 -32.966 3.35773
38.1 -32.9438 3.35752
38.6 -32.8879 3.32934
39.1 -32.8199 3.31958
39.6 -32.8266 3.32302
40.1 -32.8166 3.3366
40.6 -32.7401 3.29839
41.1 -32.7296 3.28627
41.6 -32.7184 3.27854
42.1 -32.7224 3.28387
42.6 -32.7 3.29455
43.1 -32.7167 3.30646
43.6 -32.7062 3.30514
44.1 -32.7194 3.30389
44.6 -32.6983 3.2959
45.1 -32.6888 3.28836
45.6 -32.7027 3.29438
46.1 -32.7081 3.29415
46.6 -32.7538 3.30173
47.1 -32.711 3.28894
47.6 -32.6526 3.28812
48.1 -32.6247 3.28123
48.6 -32.643 3.29622
49.1 -32.6626 3.28181
49.6 -32.652 3.27583
