k,A 2
k,L 1
k,N 1
k,O 2
k,H 1
k,I 2
k,T 4
HEL 728
k,W 1
k,P 1
AIS 39
k,S 1
ufi 36
AUP 37
HEN 937
xtu 13
NDR 321
IX. 6
xtr 96
ygm 1
NDU 27
SPR 1
M E 4
ep- 29
xty 4
xte 86
C;  1
r]T 1
SPO 1
xto 46
SPE 256
xti 11
xth 24
r]  6
bme 1
ueb 1
IXE 65
k,' 5
k,  1647
xt? 6
k,- 17
xt: 1
xt! 1
xt  277
xt. 11
xt- 1
xt, 32
,al 1
,an 3
BEN 220
K K 5
BEL 528
Egr 2
BEA 134
NO  390
BED 36
ra. 12
BER 482
BEV 11
BET 354
,as 2
Unn 2
oef 12
 y- 3
w'  3
 y  1
AUS 39
LM] 1
i'  394
i', 1
XT  4
UG  3
YBA 22
auc 73
O?  1
[To 82
GRA 89
MB  3
GRI 58
 yi 190
NON 103
i't 1
i's 1
 yo 21621
 ya 42
BE  28
 yc 1
 SS 2
 ye 2059
ra- 2
i'f 4
NOX 34
NOT 1
lml 4
'Br 6
NOR 210
'Ca 10
ED  131
!Fo 2
'Ce 2
!Fi 2
'Ci 2
a,' 8
!Fa 1
a,  767
SPU 112
'Cu 3
lma 24
LM  43
up! 8
!Fr 1
dne 400
mAs 1
dna 15
aup 70
sNo 1
dni 45
BY, 6
dnu 3
l:' 3
von 2
!FR 1
mAn 2
'C  1
xta 6
Apt 3
A ' 43
Peg 4
M C 5
ewD 1
u:' 1
ys- 1
EDF 36
-up 14
-us 2
EDE 108
RLE 168
a,D 1
EDI 146
RLA 237
SSO 6
a,A 2
EDR 147
mA  1
EDW 210
a,T 1
-un 8
DPR 2
ep! 14
Ira 9
hof 1
hog 22
hod 21
hoe 101
hob 17
hoc 12
hoa 33
hon 1510
hoo 485
hol 1533
hom 927
;if 1
 NU 1
hoi 95
hov 39
how 1916
hot 249
hou 10957
hor 1221
hos 1595
hop 556
Mab 3
hox 1
hoy 1
h:E 1
h:A 2
h:B 1
f-y 1
h:I 1
h:H 1
h:T 1
NOB 138
ho' 92
ewm 3
ho  1122
ho! 145
ho. 3
ho, 226
OWE 80
Jil 2
EHo 1
ho? 29
 SH 252
- G 21
ho; 4
 V  190
gO, 1
 V, 4
 V. 68
Eun 1
ys' 13
 SI 843
OWB 36
fir 986
fis 113
Hir 3
His 527
fiv 126
m'e 5
fit 461
uot 85
?Pl 1
fix 61
fic 489
Hib 1
Hic 9
fif 64
fig 410
fid 97
fie 657
' e 40
Hil 7
Him 35
fil 218
 Va 151
 Ve 228
'By 6
au  3
 Vi 130
 Vh 1
 Vo 84
upm 1
 Vu 8
N F 63
g]  51
 VA 203
'ec 3
 VE 100
 VI 787
uo: 1
APP 1
upi 110
uo? 1
 VO 89
APU 125
 VS 1
API 1
uo' 5
Dow 28
Hyb 2
uo. 2
BUL 6
ds] 61
dsW 2
dsT 1
dsU 1
dsS 2
 SM 10
dsL 1
dsM 1
dsH 1
au. 2
dsC 1
at' 829
at  19114
at! 76
at. 201
at, 1215
at- 41
sms 1
dsp 1
Eup 1
smo 131
dso 55
w j 12
dsm 24
smi 234
dsi 33
at? 210
sme 126
dse 6
at: 101
at; 127
sma 259
dsa 4
atD 1
'Ju 4
EL' 1
atA 1
atO 1
atI 3
SET 106
Ego 1
Egl 12
Lai 7
syl 16
Ege 10
atf 21
ds? 79
ate 3316
ds: 181
ds; 190
ata 95
atn 85
ato 325
atl 26
atm 4
ath 5876
ati 2080
ds. 367
atw 1
ds, 1124
atu 868
atr 207
ats 361
[Wi 100
ds' 24
ds  2891
ds! 129
Swi 17
NO, 22
kfu 42
Dul 9
Dum 15
Swo 17
Swa 6
Duc 12
Swe 189
:It 1
Duf 1
.LA 39
If' 2
If  1520
SEY 108
A s 265
If, 17
kfo 1
Dur 18
SEX 2
Dut 8
.LO 47
:Is 2
xib 2
xic 3
Cea 5
xig 3
so- 8
Cen 11
Cel 7
xil 31
xim 1
xin 9
xio 54
Fer 16
;Do 2
xit 1058
Cer 31
.Li 1
;De 1
.Lo 4
HY  15
NO' 3
A K 10
Soc 1
] Q 1
 fr 4523
:Fo 3
RL  64
iat 83
 fu 946
Sod 1
z?  3
SEL 7
eCa 2
eCo 2
nzy 11
A M 150
h's 95
A B 125
nza 21
nze 1
Soh 1
h'd 652
bne 6
nzo 27
syI 1
 SE 183
UGB 17
oqu 21
kne 538
u'- 1
A F 56
u'  1
za, 3
Sol 226
!Wh 3
CLO 91
 3. 1
Soo 51
Ign 2
A E 26
neT 1
hua 1
Ass 36
lp; 7
lp: 8
Sop 3
ODO 39
IN] 4
Asc 12
lp. 18
,No 16
lp, 71
CLE 430
,Ne 1
Sou 54
Asi 388
Spo 19
lp! 29
lp  231
Pul 10
u'i 2
PLA 30
u'l 217
uem 3
Pun 1
u'd 4
A R 25
huj 1
u's 4
u'r 103
u'v 4
u't 2
uel 148
lpu 8
eDe 1
lps 29
lpr 1
 fl 1366
]Ho 1
As  1518
As' 4
A T 306
lpi 17
lph 96
lpf 7
lpe 9
Puf 5
lpa 9
As, 26
m,A 4
m,F 1
smu 3
ua, 18
m,I 2
nec 189
dbr 1
m,S 2
s]L 1
m,W 2
m,T 3
(Pl 1
lcy 2
m,Y 1
tUp 1
m'? 1
CI  1
!in 1
O,t 1
tUn 1
'ne 4
'nn 3
'no 25
yfe 8
Di  1
yfo 1
yfu 39
UX  4
UX, 1
'Ve 3
